,Date,SAR,AF
954,15-Sep-14,,
955,16-Sep-14,,
956,17-Sep-14,450.4,0.02
957,18-Sep-14,450.974,0.02
958,19-Sep-14,451.53652,0.02
959,20-Sep-14,452.0877896,0.02
960,21-Sep-14,,
961,22-Sep-14,,
962,23-Sep-14,,
963,24-Sep-14,,
964,25-Sep-14,,
965,26-Sep-14,,
966,27-Sep-14,395.1,0.02
967,28-Sep-14,395.798,0.02
968,29-Sep-14,396.48204,0.02
969,30-Sep-14,397.1523992,0.02
970,1-Oct-14,,
971,2-Oct-14,,
972,3-Oct-14,,
973,4-Oct-14,364.8,0.02
974,5-Oct-14,363.952,0.04
975,6-Oct-14,360.79792,0.04
976,7-Oct-14,357.77000319999996,0.04
977,8-Oct-14,354.863203072,0.04
978,9-Oct-14,352.07267494911997,0.04
979,10-Oct-14,349.39376795115516,0.04
980,11-Oct-14,346.82201723310897,0.04
981,12-Oct-14,344.3531365437846,0.04
982,13-Oct-14,341.9830110820332,0.04
983,14-Oct-14,339.7076906387519,0.04
984,15-Oct-14,,
985,16-Oct-14,,
986,17-Oct-14,,
987,18-Oct-14,377.0,0.02
988,19-Oct-14,,
989,20-Oct-14,,
990,21-Oct-14,,
991,22-Oct-14,385.5,0.02
992,23-Oct-14,385.282,0.04
993,24-Oct-14,383.99072,0.06
994,25-Oct-14,381.8912768,0.08
995,26-Oct-14,378.723974656,0.08
996,27-Oct-14,375.81005668352,0.08
997,28-Oct-14,373.12925214883836,0.08
998,29-Oct-14,370.6629119769313,0.1
999,30-Oct-14,366.91662077923814,0.12000000000000001
1000,31-Oct-14,362.84662628572954,0.12000000000000001
1001,1-Nov-14,359.265031131442,0.14
1002,2-Nov-14,354.00592677304013,0.16
1003,3-Nov-14,348.7729784893537,0.16
1004,4-Nov-14,344.3773019310571,0.16
1005,5-Nov-14,340.68493362208795,0.18
1006,6-Nov-14,337.14164557011213,0.18
1007,7-Nov-14,,
1008,8-Nov-14,,
1009,9-Nov-14,,
1010,10-Nov-14,355.0,0.02
1011,11-Nov-14,355.35,0.02
1012,12-Nov-14,,
1013,13-Nov-14,,
1014,14-Nov-14,,
1015,15-Nov-14,,
1016,16-Nov-14,,
1017,17-Nov-14,,
1018,18-Nov-14,,
1019,19-Nov-14,,
1020,20-Nov-14,380.6,0.02
1021,21-Nov-14,380.05600000000004,0.04
1022,22-Nov-14,378.69776,0.04
1023,23-Nov-14,377.3938496,0.04
1024,24-Nov-14,376.142095616,0.06
1025,25-Nov-14,373.24156987904,0.06
1026,26-Nov-14,370.5150756862976,0.06
1027,27-Nov-14,367.9521711451198,0.06
